name,latitude,longitude,wikipedia_link,category,rating,entrance_fee_lkr,time_required_hours,description,district,province
Bentota Parasailing & Water Sports,6.4285,79.9996,https://en.wikipedia.org/wiki/Bentota,Adventure/Water Sports,4.6,RS. 4000,08.00 am - 05.00 pm,"Bentota is the water sports capital of Sri Lanka, offering thrilling activities like parasailing, jet skiing, and windsurfing.",Galle,Southern
Kosgoda Sea Turtle Conservation Project,6.3096,80.024,,Wildlife/Turtle Protection,4.5,RS. 1500,08.00 am - 05.00 pm,A popular turtle hatchery where you can see various species of sea turtles and learn about conservation efforts to protect them.,Galle,Southern
Rekawa Turtle Watch,6.0463,80.8497,,Wildlife/Turtle Protection,4.7,RS. 2000,08.00 pm - 11.00 pm,Rekawa beach is one of the most important sea turtle nesting sites in Sri Lanka. Visitors can observe turtles laying eggs at night.,Hambantota,Southern
Dambulla Hot Air Ballooning,7.8646,80.6521,,Adventure/Air Balloon,4.9,RS. 35000,05.00 am - 09.00 am,Experience the breathtaking landscapes of the Cultural Triangle from above with a sunrise hot air balloon flight.,Matale,Central
Kalpitiya Dolphin & Whale Watching,8.2323,79.7621,https://en.wikipedia.org/wiki/Kalpitiya,Wildlife/Whale Watching,4.6,RS. 6000,06.00 am - 12.00 pm,"Kalpitiya is famous for large pods of spinner dolphins and occasional whale sightings, making it a top wildlife destination.",Puttalam,North Western
Trincomalee Whale Watching,8.5711,81.2333,,Wildlife/Whale Watching,4.7,RS. 7000,06.00 am - 01.00 pm,"Trincomalee is one of the best places in the world to see Blue Whales and Sperm Whales, especially between May and October.",Trincomalee,Eastern
Mirissa Whale Watching,5.9483,80.4578,,Wildlife/Whale Watching,4.8,RS. 8000,06.00 am - 12.00 pm,"Mirissa is the most popular starting point for whale watching in Sri Lanka. It's an incredible spot to see blue whales, sperm whales, and dolphins.",Matara,Southern
Meemure Camping & Adventure,7.4333,80.85,https://en.wikipedia.org/wiki/Meemure,Camping/Adventure,4.8,RS. 5000,24 Hours,"Meemure is an isolated village deep in the Knuckles range, offering rustic camping, river bathing, and pristine nature.",Kandy,Central
Riverston Peak & Camping,7.5284,80.738,https://en.wikipedia.org/wiki/Riverston_Peak,Camping/Hiking,4.8,RS. 500,06.00 am - 06.00 pm,"A spectacular windy peak in the Knuckles mountain range, ideal for hiking, sightseeing, and overnight camping.",Matale,Central
Makaldeniya Paragliding,6.7865,80.0571,,Adventure/Paragliding,4.7,RS. 15000,08.00 am - 02.00 pm,Enjoy the thrill of paragliding over the stunning valleys and tea estates of Sri Lanka's hill country.,Badulla,Uva
Nine Arches Bridge,6.8767,80.0636,"https://en.wikipedia.org/wiki/Nine_Arches_Bridge,_Ella",Top Tourist Attraction,4.8,RS. 0,06.00 am - 06.00 pm,"The Nine Arches Bridge in Ella is one of the most iconic and photographed colonial-era railway bridges in the world, hidden among lush jungle and tea fields.",Badulla,Uva
Galle Fort,6.0258,80.2175,https://en.wikipedia.org/wiki/Galle_Fort,Top Tourist Attraction,4.8,RS. 0,06.00 am - 08.00 pm,"A historic colonial fort built by the Portuguese and fortified by the Dutch, now a UNESCO World Heritage site packed with boutique shops, cafes, and history.",Galle,Southern
Colombo Lotus Tower,6.9272,79.8587,https://en.wikipedia.org/wiki/Lotus_Tower,Top Tourist Attraction,4.4,RS. 500,09.00 am - 10.00 pm,"The Lotus Tower is the tallest self-supported structure in South Asia, offering a panoramic observation deck, restaurants, and shopping.",Colombo,Western
